Name	Tonnage	Bonus
Leg Mod + +	2.0	- 30 DFA Self Dmg. 
TTS Artemis IV (C) + +	0.0	Ignores 2 Evasion (Missile) + 50% Crit. (Missile), - 1.5 Tons
Heat Sink Double (C)	1.0	- 6 Heat / Turn 
Nova CEWS (C) + +	1.0	+ 1 Evasion, - 10% Dmg. + 1 Acc., + 1 Acc. (Lance), + 30% Weapon Optimal Range
Engine Double Heat Sink Kit (CLAN)	0.0	 
Gyro + + +	0.0	- 35% Stb.Dmg. Taken 
TTS Artemis IV + +	0.0	Ignores 2 Evasion (Missile) - 2 Tons
Gyro +	0.0	+ 2 Melee Hit 
VS System +	5.0	Stealth, Indirect Fire Immunity + 3 Def., - 10% Dmg.
Leg Mod	0.0	+ 5 DFA Dmg. 
Command Mod	0.0	+ Called Shot - 10% Dmg. (Lance)
Targeting Computer + +	1.0	Ignores 2 Evasion (Ballistic + Energy) - 2 Tons
Heavy Defensive Suite	2.0	- 25% Dmg. + 40% Stability
Short-Range EW Suite +	1.0	+ 2 Defense (120m) 20% Melee Damage Reduction
Heat Sink Double (C)	0.0	- 6 Heat / Turn 
Engine (LAM) +	0.0	+ 20% Jump Distance - 20 Heat / Turn
TTS	1.0	+ 1 Acc. (Missile) 
Comms System +	0.0	+ 2 Resolve Gain 
Arm Mod +	1.0	+ 20 Melee Dmg. 
Gyro +	0.0	- 20% Stb.Dmg. Taken 
Rangefinder	0.0	+ 25m View Dist. 
TTS + +	3.0	+ 3 Acc. (Energy) 
Short-Range EW Suite	1.0	+ 2 Defense (60m) 10% Melee Damage Reduction
Guardian ECM +	1.5	+ 2 Hit Defense - 10% Dmg.
Guardian ECM (C) + +	1.0	+ 3 Hit Defense - 10% Dmg.
Heat Bank	1.0	+ 10 Max Heat + 5 Overheat Threshold
Heat Sink	1.0	- 3 Heat / Turn 
Comms System + +	0.0	+ 3 Resolve Gain 
Leg Mod + +	0.0	+ 15 DFA Dmg. 
TTS	1.0	+ 1 Acc. (Ballistic) 
M.A.S.C. (C) + +	2.0	+ 30% Walk, + 50% Sprint Speed 
Battle Computer	0.0	+ 1 Initiative for all Lance units 
C3i Computer +	2.0	+ 1 Init., + 1 Acc. + 15% Weapon Optimal Range
Heat Sink (D)+	1.0	- 6 Heat / Turn 
Heat Sink (DS)	1.0	- 6 Heat / Turn 
PPC Capacitator + +	1.0	+ 35% PPC Damage + 10% PPC Heat
Rangefinder +	0.0	+ 50m View Dist. 
Leg Mod +	1.0	- 20 DFA Self Dmg. 
M.A.S.C. (C) +	2.0	+ 30% Walk, + 50% Sprint Speed + 5% Heat Generated
Arm Mod	0.0	+ 10 Melee Stb.Dmg. 
Active Probe (C) +	1.0	+ Area Sensor Lock + 1 Acc., + 20% Sensor Range
TTS + + +	1.0	+ 3 Acc. (Energy) 
AMS + +	1.5	+ 6 Def. vs Missiles - 25% Dmg. from Missiles
C3i Computer + +	2.0	+ 1 Init. (Lance), + 2 Acc., + 1 Acc. (Lance) + 30% Weapon Optimal Range
Gyro	0.0	+ 1 Melee Hit 
AMS CLAN + +	1.5	+ 6 Def. vs Missiles - 25% Dmg. from Missiles
Hatchet	3.0	+ 70 Melee Dmg. 
Active Probe (C) + +	1.0	+ Area Sensor Lock + 2 Acc., + 30% Sensor Range
Nova CEWS (C) +	1.0	+ 1 Evasion, - 10% Dmg. + 1 Acc., + 15% Weapon Optimal Range
TTS	1.0	+ 1 Acc. (Energy) 
Exchanger +	3.0	 - 15% Weapon Heat 
Gyro	0.0	- 10% Stb.Dmg. Taken 
Arm Mod	0.0	+ 5 Melee Dmg. 
Leg Mod	0.0	- 10 DFA Self Dmg. 
Engine HS (D)	0.0	 
Heat Sink (D)	1.0	- 6 Heat / Turn 
Arm Mod + + +	1.0	+ 60 Melee Stb.Dmg. 
AMS CLAN +	1.5	+ 5 Def. vs Missiles - 20% Dmg. from Missiles
Gyro + +	0.0	+ 3 Hit Defense 
Arm Mod +	1.0	+ 15 Melee Dmg. 
Arm Mod + +	2.0	+ 50 Melee Stb.Dmg. 
M.A.S.C. + +	2.0	+ 30% Walk, + 50% Sprint Speed 
Arm Mod	0.0	+ 20 Melee Stb.Dmg. 
